id,label,type,in_degree,out_degree,degree_centrality,betweenness,pagerank
RISK002,Cyber Risk,Risk Domain,3,0,0.1764705882352941,0.0,0.13970359719421915
BEN001,SWE-Bench,Benchmark,2,0,0.11764705882352941,0.0,0.10519492687983392
RISK001,Biological Risk,Risk Domain,2,0,0.11764705882352941,0.0,0.08026665503014488
FW002,Preparedness Framework,Governance Framework,2,2,0.23529411764705882,0.014705882352941176,0.06992460238008043
FW003,Frontier Safety Framework,Governance Framework,2,1,0.1764705882352941,0.007352941176470588,0.06992460238008043
FW001,Responsible Scaling Policy,Governance Framework,2,3,0.29411764705882354,0.022058823529411763,0.06992460238008043
BEN003,Humanity's Last Exam,Benchmark,1,0,0.058823529411764705,0.0,0.06796539838662513
RISK003,Autonomous AI R&D,Risk Domain,1,0,0.058823529411764705,0.0,0.050548183948107756
MOD001,Claude Opus 4,Frontier Model,1,1,0.11764705882352941,0.003676470588235294,0.043798780722304365
MOD003,Gemini 2.5 Pro,Frontier Model,1,1,0.11764705882352941,0.003676470588235294,0.043798780722304365
MOD002,GPT-5,Frontier Model,1,1,0.11764705882352941,0.003676470588235294,0.043798780722304365
ORG001,Anthropic,Organization,0,2,0.11764705882352941,0.0,0.030735869893416333
ORG002,OpenAI,Organization,0,2,0.11764705882352941,0.0,0.030735869893416333
ORG003,Google DeepMind,Organization,0,2,0.11764705882352941,0.0,0.030735869893416333
BEN002,CyberSecEval,Benchmark,0,0,0.0,0.0,0.030735869893416333
REG001,EU AI Act,Regulation,0,1,0.058823529411764705,0.0,0.030735869893416333
REG002,NIST AI RMF,Regulation,0,1,0.058823529411764705,0.0,0.030735869893416333
REG003,UK AI Security Institute Guidance,Regulation,0,1,0.058823529411764705,0.0,0.030735869893416333
